Square Pharmaceuticals Ltd.

Medicine Name,Company Name
Ace Plus®,Paracetamol & Caffeine
Ace XR®,Paracetamol
Ace®,Paracetamol
Acetram®,Paracetamol+Tramadol
Adovas®,Adhatoda vasica
Adryl®,Diphenhydramine HCl
Afun®,Clotrimazole
Afun® VT,Clotrimazole
Agrizeb®,Mancozeb
Alacot® DS Eye Drops,Antiallergic
Alacot® Eye Drops,Olopatadine HCl
Alarid® Eye Drops,Ketotifen Fumarate
Alatrol®,Cetirizine HCl
Almex®,Albendazole
AmbrisanTM 5,Ambrisentan
Ambrox®,Ambroxol
AmCivit®,Amlaki rashayan
AmistarTM IM/IV Injection,Amikacin Sulfate USP
AmocidTM,Kutjarist
Amodis IV Infusion®,Metronidazole
Amodis®,Metronidazole
Anadol®,Tramadol HCl
Anclog Plus®,Clopidogrel + Aspirin
Anclog®,Clopidogrel
Anespine®,Bupivacaine HCl+Dextrose
Angilock®,Losartan Potassium
Angilock® plus,Losartan Potassium + Hydrochlorthiazide
Angivent MR®,Trimetazidine HCl
Anleptic®,Carbamazepine
Anoxa 10®,Oxazepam
Anril 0.5®,Nitroglycerin
Anril Injection®,Nitroglycerin
Anril spray®,Nitroglycerin
Anril SR®,Nitroglycerin
Ansulin®,Insulin Human (rDNA)
AnsuPen®,Reusable Insulin Pen
Antazol Plus®,Sodium Cromoglicate + Xylometazoline HCl
Antazol®,Xylometazoline HCl
Antista®,Chlorpheniramine maleate BP
Antiva®,Adefovir Dipivoxil 
Anzitor®,Atorvastatin
Apsol®,Amlexanox
AriprexTM,Aripiprazole
Arubin®,Carbonyl enriched herbal hematinic
AsyntaTM,Sodium Alginate + Potassium Bicarbonate
Atreon®,Aztreonam
Aviflu®,Oseltamivir phosphate
B-50 Forte®,Vitamin B Complex
Bactrocin®,Mupirocin
Barif®,Febuxostat
Beclomin®,Beclometasone Dipropionate
Becospray®,Beclomethasone dipropionate
Benzapen®,Benzathine Penicillin
Beovit®,Thiamine HCl
Betameson-N®,Betamethasone+ Neomycin
Bicozin-I®,Iron Polymaltose + Thiamine + Riboflavin + Nicotinamide...
Bicozin®,Vitamin B Complex and Zinc
Bisocor Plus®,Bisoprolol Fumarate+ Hydrochlorothiazide
Bisocor®,Bisoprolol Fumarate
Bravo®,Cartap HCL
Brofex®,Dextromethorphan
Bromolac®,Bromocriptine mesilate
BufocortTM Cozycap,Budesonide+ Formoterol Fumarate Dihydrate
Burna®,Silver Sulfadiazine
Butefin®,Butenafine HCl
Cadnyl®,Perindopril Erbumine
Calbo 500®,Calcium Carbonate
Calbo Forte®,Calcium Carbonate +Calcium Lactate gluconate + Vitamin ...
Calbo Jr.®,Calcium Carbonate
Calbo-C®,Calcium laclate gluconate + Calcium carbonate + Ascorbi...
Calbo-D Vita,Calcium 600 mg + Vitamin D 400 IU
Calbo-D®,Calcium + Vitamin-D
Calboplex®,Calcium+Vitamin-D+Multimineral
Calboral-DTM,Calcium Carbonate (from Coral source) USP 1250 mg & Vit...
CalborateTM,Calcium Orotate
Calcitrol®,Calcitriol
Camlodin plus®,Amlodipine + Atenolol 
Camlodin®,Amlodipine
Camlopril®,Amlodipine + Benazepril HCl 
CamlosartTM,Amlodipine + Olmesartan Medoxomil
Camlotor®,Amlodipine + Atorvastatin 
Camoval®,Amlodipine + Valsartan
CanaglifTM,Canagliflozin
Candex®,Nystatin
Carbizol®,Carbimazole
Cardipro Plus®,Atenolol + Chlorthalidone
Cardipro®,Atenolol
Carva®,Aspirin
Cavir®,Entecavir
Ceevit Forte®,Vitamin-C
Ceevit®,Vitamin-C
Cef-3®,Cefixime
Cefotil®,Cefuroxime Sodium
CefotilTM Plus,Cefuroxime & Clavulanic Acid
Ceftron®,Ceftriaxone
Ceporin®,Cephalexin
Cerevas®,Vinpocetine
Cilosta®,Cilostazol
Cinaron Plus®,Cinnarizine+Dimenhydrinate
Cinaron®,Cinnarizine
Ciprocin IV Infusion®,Ciprofloxacin
Ciprocin®,Ciprofloxacin
Ciprocin® Eye/Ear Drops,Ciprofloxacin
Climycin®,Clindamycin HCl
Clinface®,Clindamycin Phosphate+Tretinoin
Clobam®,Clobazam
Clofenac 100 Suppository®,Diclofenac Sodium
Clofenac DT®,Diclofenac free acid
Clofenac Gel®,Diclofenac Diethyl-ammonium Salt
Clofenac®,Diclofenac
ClopiroxTM Cream,Ciclopirox Olamine
ClotinexTM,Enoxaparin Sodium
Colicon®,Dicycloverine HCl
ColimaxTM,Colchicine
ColmintTM,Peppermint Oil
Comet®,Metformin HCl
CompridTM,Gliclazide
Contifil®,Theophylline
Contilex®,Glucosamine Sulfate + Chondroitin
Cotrim®,Sulphamethoxazole+Trimethoprim
Cyperin®,Cypermethrin
De-rash®,Zinc Oxide
Defiron®,Iron Sucrose
DeflacortTM,Deflazacort
Delipid®,Gemfibrozil
Depram®,Imipramine
Deprex®,Olanzapine
Dermasol-N®,Clobetasol Propionate +Neomycin Sulphate +Nystatin
Dermasol®,Clobetasol Propionate
DermasolTM-S,Clobetasol Propionate BP
Dexonex-CTM Eye/Ear Drops,Dexamethasone+Chloramphenicol
Dexonex®,Dexamethasone
Dexonex® Eye/Ear Drops,Dexamethasone
Dibenol®,Glibenclamide
Diliner DR®,Duloxetine
Diltizem SR 90®,Diltiazem HCl
Diprobet®,Betamethasone Dipropionate
Dormitol®,Midazolam
Doxacil®,Doxycycline HCI
DubarelTM,Aushokarist
DuolaxTM,Magnesium Hydroxide & Liquid Paraffin
Durol CR®,Carvedilol phosphate
Durol®,Carvedilol
Dyvon Plus®,Calcipotriol+Betamethasone Dipropionate
Dyvon®,Calcipotriol
Eczena®,Diflorasone Diacetate
Efigrel®,Prasugrel
Elzer®,Donepezil HCl
Emcil®,Pivmecillinam
EmolentTM Cream,Light liquid paraffin & White soft paraffin
Enerton®,Berela
Entacyd Plus®,Antacid
Entacyd®,Antacid
Epinal®,Phenobarbital
Epitra®,Clonazepam
Eprim®,Evening Primrose Oil
Equra®,Urea
EredexTM,Yohimbe
Erian®,Cinchocaine HCI + Hydrocortisone + Framycetin Sulphate ...
Eromycin Lotion®,Erythromycin
Eromycin®,Erythromycin
EslicarTM,Eslicarbazepine acetate
Esloric®,Allopurinol
Esmo LA®,Isosorbide Mononitrate
Esmo®,Isosorbide Mononitrate
Espa®,Drotaverine HCl
Evit Licap®,Vitamin E as alpha-Tocopheryl Acetate
Evit®,Vitamin E
Eyebil®,Bilberry
Eyevi®,Vitamin C+Vitamin E+ Zinc+Copper+Lutein
Ezex®,Clobetasone Butyrate
Facticin®,Gemifloxacin
Famotack®,Famotidine
Fe-plus®,Ferrous Fumarate + Folic Acid
FemastinTM,Estriol
FentizolTM VT 600,Fenticonazole Nitrate BP
Fexo Plus®,Fexofenadine HCl+Pseudoephedrine HCl
Fexo®,Fexofenadine HCl
Filfresh®,Melatonin
Filwel Gold®,Multivitamin Multimineral
Filwel Kids®,Multivitamin with Cod Liver Oil
Filwel Silver®,Multivitamin Multimineral
FilwelTM Teen hm,Multivitamin & Multimineral
FilwelTM Teen hr,Multivitamin & Multimineral
Flacol®,Simethicone
Flexi®,Aceclofenac
Flexilax®,Baclofen
Flonaspray®,Fluticasone propionate
Flugal®,Fluconazole
Flurizin®,Flunarizine HCl
FodexilTM 500,Cefadroxil as Cefadroxil Monohydrate USP
Fona plus®,Adapalene+Benzoyl peroxide
Fona®,Adapalene
Force®,Cefpirome
Fortunate®,Acephate
Frabex®,Tranexamic acid
Fungidal BT®,Miconazole Nitrate 
Fungidal HC®,Miconazole nitrate+ Hydrocortisone
Fungidal®,Miconazole Nitrate 
Fusid®,Furosemide
Fusid® Plus,Spironolactone + Furosemide
Fusitop-HCTM,Fusidic Acid & Hydrocortisone Acetate
Gabastar®,Gabapentin
GarlinTM,Garlic Oil 10 mg
Gayvet®,Sulphur
Gelora®,Miconazole
Genacyn Injection®,Gentamicin
Genacyn Ointment®,Gentamicin
Genacyn® Eye/Ear Drops,Gentamicin
Genisia®,Thiopental Sodium
Germisol® Hand Rub,Chlorhexidine Gluconate
GestonTM,Allylestrenol
Giloba®,Ginkgo biloba
Gintex®,Panax ginseng
GlysupTM,Glycerin BP
GOLTM,Macrogol & Electrolytes
Goldazim®,Carbendazim
GrastimTM,Risedronate Sodium & Calcium
Gynepro®,Metronidazole+ Neomycin Sulphate+ Polymyxin B Sulphate ...
Halobet®,Halobetasol Propionate
Hemorif®,Diosmin + Hesperidine
Hepavir®,Lamivudine
Imotil®,Loperamide HCl
Impel®,Imidacloprid
Inacea@,Echinacea
Inflagic®,Prednisolone
Intimate®,Tadalafil
Iprex Inhaler®,Ipratropium Bromide
Iprex Respirator Solution®,Ipratropium Bromide
IracetTM,Levetiracetam
Isovent®,Misoprostol
Ispergul®,Ispaghula husk
Itra®,Itraconazole
Ivanor®,Ivabradine
Iventi 400 IV®,Moxifloxacin
Iventi Tablet,Moxifloxacin USP
Iventi® Eye Drops,Moxifloxacin
Jort®,St. Johns Wort
K-One®,Phytomenadione
Kalinac®,Diclofenac Potassium
Kamomil®,German Chamomile with other herbs
Ketoral®,Ketoconazole
Kop Gel®,Ketoprofen
Kop®,Ketoprofen
Laciten®,Lacidipine
LactoringTM IV,Hartmann’s solution
Lanso®,Lansoprazole
Laxyl®,Bromazepam
Lebac®,Cephradine
LecorTM,Patrangasav (Woodfordia fruticosa)
Lerozol®,Letrozole
Levocar®,Levocarnitine
Levostar®,Levosalbutamol
LidoTM,Lidocaine
LinitaTM,Linagliptin INN
Lipired 160®,Fenofibrate
Lipired®,Fenofibrate
Livolite®,Andrographis paniculata
Livwel Syrup®,Multivitamin Multimineral
Locular® Eye Drop,Brimonidine Tartrate
Locular® Plus Eye Drops,Brimonidine Tartrate & Timolol
Loracef®,Cefaclor
Loratin®,Loratadine
Lubtear® Eye Drops,Dextran 70 + Hypromellose
LumastTM,Roflumilast 500 mcg
Lumertam®,Artemether + Lumefantrine
LuraprexTM,Lurasidone
Maganta Plus®,Magaldrate+Simethicone
Malacide®,Sulfadoxine + Pyrimethamine
Maxcef®,Cefotaxime
Maxpime®,Cefepime
Maxrin®,Tamsulosin HCl
Melcam®,Meloxicam
Melixol®,Flupenthixol + Melitracen
Menoral®,Norethisterone
Merison®,Betahistine Mesilate
Metaspray Nasal Spray®,Mometasone Furoate
Methicol®,Mecobalamin
MevinTM,Mebeverine Hydrocloride
Mexlo®,Lomefloxacin
